name,brand,sizes,skus,originalPrice,promotionalPrice,discountPercentage,discountAmount
Blouse - off white,Anna Field,"6, 8, 10, 12, 16, 18, 20, 22, 24, 26","AN621E0AO-A110034000, AN621E0AO-A110036000, AN621E0AO-A110038000, AN621E0AO-A110040000, AN621E0AO-A110044000, AN621E0AO-A110046000, AN621E0AO-A110048000, AN621E0AO-A110050000, AN621E0AO-A110052000, AN621E0AO-A110054000",25.99,22.0,15.0,3.9899999999999984
LADIES OPEN EDGE TERRY TURN UP PANTS - Tracksuit bottoms - black,Urban Classics,"XS, S, M, L, XL, 3XL, 4XL, 5XL","UR621A01M-Q1100XS000, UR621A01M-Q11000S000, UR621A01M-Q11000M000, UR621A01M-Q11000L000, UR621A01M-Q1100XL000, UR621A01M-Q1103XL000, UR621A01M-Q1104XL000, UR621A01M-Q1105XL000",25.0,25.0,0.0,0.0
ONLNOELLE MIDI STRING SKIRT - A-line skirt - black,ONLY,"XS, S, M, L, XL, XXL, 3XL","ON321B1AF-Q1100XS000, ON321B1AF-Q11000S000, ON321B1AF-Q11000M000, ON321B1AF-Q11000L000, ON321B1AF-Q1100XL000, ON321B1AF-Q110XXL000, ON321B1AF-Q1103XL000",35.99,35.99,0.0,0.0
STRETCH  - Shorts - khaki stone,The North Face,"12, 14, 18","TH321S01H-B110008000, TH321S01H-B110010000, TH321S01H-B110014000",59.99,54.0,10.0,5.990000000000002
Hoodie - black,Even&Odd,"XS, S, M, L","EV421J08C-Q1100XS000, EV421J08C-Q11000S000, EV421J08C-Q11000M000, EV421J08C-Q11000L000",20.99,10.0,52.0,10.989999999999998
Trousers - night sky,ONLY,"XXSx30, XXSx32, XSx30, XSx32, XSx34, Sx30, Sx32, Sx34, Mx30, Mx32, Mx34, Lx30, Lx32, XLx30, XLx32, XLx34, XXLx32, XXLx34","ON321A0GX-K120XXS030, ON321A0GX-K120XXS032, ON321A0GX-K1200XS030, ON321A0GX-K1200XS032, ON321A0GX-K1200XS034, ON321A0GX-K12000S030, ON321A0GX-K12000S032, ON321A0GX-K12000S034, ON321A0GX-K12000M030, ON321A0GX-K12000M032, ON321A0GX-K12000M034, ON321A0GX-K12000L030, ON321A0GX-K12000L032, ON321A0GX-K1200XL030, ON321A0GX-K1200XL032, ON321A0GX-K1200XL034, ON321A0GX-K120XXL032, ON321A0GX-K120XXL034",34.99,34.99,0.0,0.0
CLASSICS  MIT MODERATER BEDECKUNG F - Bikini bottoms - anthracite,Roxy,"XS, S, M, L, XL, XXL","RO581I091-Q1100XS000, RO581I091-Q11000S000, RO581I091-Q11000M000, RO581I091-Q11000L000, RO581I091-Q1100XL000, RO581I091-Q110XXL000",21.99,21.99,0.0,0.0
"GAP X DÔEN FLORAL MINI DRESS
 - Day dress - dublin blue",GAP,"6, 8, 10, 12, 14, 16, 18, 20","GP021C0RR-Q110002000, GP021C0RR-Q110004000, GP021C0RR-Q110006000, GP021C0RR-Q110008000, GP021C0RR-Q110010000, GP021C0RR-Q110012000, GP021C0RR-Q110014000, GP021C0RR-Q110016000",54.99,54.99,0.0,0.0
2 PACK - Leggings - Trousers - black,Even&Odd,"XS, S, M, L, XL, XXL, 3XL","EV421A07V-Q1200XS000, EV421A07V-Q12000S000, EV421A07V-Q12000M000, EV421A07V-Q12000L000, EV421A07V-Q1200XL000, EV421A07V-Q120XXL000, EV421A07V-Q1203XL000",18.99,18.99,0.0,0.0
Tracksuit bottoms - black,adidas Originals,"0/2 (XXS), 4/6 (XS), 8/10 (S)","AD121A1GG-Q1102XS000, AD121A1GG-Q1100XS000, AD121A1GG-Q11000S000",89.99,81.0,10.0,8.989999999999995
